,Run,Object,RA,Dec,Equinox,UT,Airm,Instr,Texp sec,Sky PA,Filters etc.,Slit,Grat,CenwA,Comments,night,date,mjd,RA_deg,Dec_deg,search_group
1304,1603423,C2017K2,18:46:41.81,+11:21:05.4,2000.0,05:36,1.45,0  WFC,299.9,180.0,i,,,,,20220310,20220311,59649.23333333333,281.6742083333333,11.3515,81.0
1305,1603424,C2017K2,18:46:46.01,+11:22:05.4,2000.0,05:42,1.41,7  WFC,299.9,180.0,g,,,,,20220310,20220311,59649.2375,281.6917083333333,11.368166666666667,81.0
1306,1603425,C2017K2,18:46:46.13,+11:22:05.6,2000.0,05:48,1.38,7  WFC,299.9,180.0,r,,,,,20220310,20220311,59649.24166666667,281.69220833333327,11.368222222222222,81.0
1307,1603426,C2017K2,18:46:46.25,+11:22:05.8,2000.0,05:54,1.35,8  WFC,300.0,180.0,i,,,,,20220310,20220311,59649.245833333334,281.6927083333333,11.368277777777779,81.0
1308,1603427,C2017K2,18:46:46.38,+11:22:06.0,2000.0,06:00,1.32,9  WFC,299.4,180.0,g,,,,,20220310,20220311,59649.25,281.69325,11.368333333333334,81.0
1309,1603428,C2017K2,18:46:46.49,+11:22:06.0,2000.0,06:06,1.3,4  WFC,299.9,180.0,r,,,,,20220310,20220311,59649.254166666666,281.6937083333333,11.368333333333334,81.0
1310,1603429,C2017K2,18:46:46.61,+11:22:06.2,2000.0,06:12,1.28,2  WFC,300.0,180.0,i,,,,,20220310,20220311,59649.25833333333,281.6942083333333,11.368388888888889,81.0
1311,1627509,C2017K2,16:06:00.94,-17:58:48.6,2000.0,21:45,1.87,4  IDS,600.0,39.0,Clear,2.0,R400B,4414.5,,20220818,20220818,59809.90625,241.50391666666667,-17.980166666666666,82.0
1312,1627510,C2017K2,16:05:28.28,-17:52:41.7,2000.0,21:56,1.96,4  IDS,600.0,39.0,Clear,2.0,R400B,4414.5,sky offset up 10',20220818,20220818,59809.91388888889,241.36783333333327,-17.87825,82.0
1313,1627511,C2017K2,16:06:00.92,-17:59:11.0,2000.0,22:08,2.07,9  IDS,600.0,39.0,Clear,2.0,R400B,4414.5,,20220818,20220818,59809.92222222222,241.50383333333332,-17.98638888888889,82.0
1314,1627512,C2017K2,16:06:33.45,-18:05:38.2,2000.0,22:19,2.2,0  IDS,600.0,39.0,Clear,2.0,R400B,4414.5,sky offset down 10',20220818,20220818,59809.92986111111,241.63937499999997,-18.093944444444443,82.0
1315,1627513,C2017K2,16:06:00.57,-17:59:32.2,2000.0,22:31,2.35,5  IDS,600.0,39.0,Clear,2.0,R400B,4414.5,,20220818,20220818,59809.93819444445,241.50237500000003,-17.99227777777778,82.0
1316,1627516,C2020K1,17:22:36.83,+03:08:04.4,2000.0,23:01,1.35,5  IDS,900.0,49.0,Clear,2.0,R400B,4414.5,,20220818,20220818,59809.959027777775,260.65345833333333,3.1345555555555555,83.0
1317,1627517,C2020K1,17:22:10.57,+03:15:25.0,2000.0,23:17,1.42,7  IDS,900.0,49.0,Clear,2.0,R400B,4414.5,sky offset up 10',20220818,20220818,59809.970138888886,260.54404166666666,3.2569444444444446,83.0
1318,1627518,C2020K1,17:22:37.00,+03:07:40.6,2000.0,23:35,1.53,0  IDS,900.0,49.0,Clear,2.0,R400B,4414.5,,20220818,20220818,59809.98263888889,260.65416666666664,3.1279444444444446,83.0
